Cabinet_Name,Cabinet_Category,Cabinet_Sub_Type,SKU,Stock_Price,Doors,Drawers,Shelves,Width,Height,Depth,Phase,Run,Catalog_Page
,Base Cabinet,,TB9,417,,,,,,,1,1,I9
,Base Cabinet,,TB12,447,,,,,,,1,1,I9
,Base Cabinet,,TB15,638,,,,,,,1,1,I9
,Base Cabinet,,TB18,650,,,,,,,1,1,I9
,Base Cabinet,,TB21,685,,,,,,,1,1,I9
,Base Cabinet,,TB24,703,,,,,,,1,1,I9
,Base Cabinet,,B12-RT,883,,,,,,,1,1,I10
,Base Cabinet,,B27-RT-1DR,1092,,,,,,,1,1,I10
,Base Cabinet,,B15-RT,912,,,,,,,1,1,I10
,Base Cabinet,,B30-RT-1DR,1127,,,,,,,1,1,I10
,Base Cabinet,,B18-RT,923,,,,,,,1,1,I10
,Base Cabinet,,B33-RT-1DR,1162,,,,,,,1,1,I10
,Base Cabinet,,B21-RT,958,,,,,,,1,1,I10
,Base Cabinet,,B36-RT-1DR,1190,,,,,,,1,1,I10
,Base Cabinet,,B24-RT,977,,,,,,,1,1,I10
,Base Cabinet,,B39-RT-1DR,1315,,,,,,,1,1,I10
,Base Cabinet,,B24-RT-2D,1175,,,,,,,1,1,I10
,Base Cabinet,,B42-RT-1DR,1350,,,,,,,1,1,I10
,Base Cabinet,,B27-RT,1121,,,,,,,1,1,I10
,Base Cabinet,,B30-RT,1155,,,,,,,1,1,I10
,Base Cabinet,,B33-RT,1190,,,,,,,1,1,I10
,Base Cabinet,,B36-RT,1220,,,,,,,1,1,I10
,Base Cabinet,,B39-RT,1255,,,,,,,1,1,I10
,Base Cabinet,,B42-RT,1290,,,,,,,1,1,I10
,Base Cabinet,,PB9,738,,,,,,,1,1,I11
,Base Cabinet,,PB27-1DR,1178,,,,,,,1,1,I11
,Base Cabinet,,PB12,784,,,,,,,1,1,I11
,Base Cabinet,,PB30-1DR,1237,,,,,,,1,1,I11
,Base Cabinet,,PB15,836,,,,,,,1,1,I11
,Base Cabinet,,PB33-1DR,1301,,,,,,,1,1,I11
,Base Cabinet,,PB18,859,,,,,,,1,1,I11
,Base Cabinet,,PB36-1DR,1347,,,,,,,1,1,I11
,Base Cabinet,,PB21,917,,,,,,,1,1,I11
,Base Cabinet,,PB39-1DR,1499,,,,,,,1,1,I11
,Base Cabinet,,PB24,947,,,,,,,1,1,I11
,Base Cabinet,,PB42-1DR,1557,,,,,,,1,1,I11
,Base Cabinet,,PB24-2D,1325,,,,,,,1,1,I11
,Base Cabinet,,PB27,1206,,,,,,,1,1,I11
,Base Cabinet,,PB30,1265,,,,,,,1,1,I11
,Base Cabinet,,PB33,1330,,,,,,,1,1,I11
,Base Cabinet,,PB36,1376,,,,,,,1,1,I11
,Base Cabinet,,PB39,1439,,,,,,,1,1,I11
,Base Cabinet,,PB42,1497,,,,,,,1,1,I11
,Base Cabinet,,PB45,1550,,,,,,,1,1,I11
,Base Cabinet,,PB48,1573,,,,,,,1,1,I11
,Base Cabinet,,PB9-FHD,738,,,,,,,1,1,I12
,Base Cabinet,,PB12-FHD,784,,,,,,,1,1,I12
,Base Cabinet,,PB15-FHD,836,,,,,,,1,1,I12
,Base Cabinet,,PB18-FHD,859,,,,,,,1,1,I12
,Base Cabinet,,PB21-FHD,917,,,,,,,1,1,I12
,Base Cabinet,,PB24-FHD,947,,,,,,,1,1,I12
,Base Cabinet,,PB24-FHD-2D,1325,,,,,,,1,1,I12
,Base Cabinet,,PB27-FHD,1206,,,,,,,1,1,I12
,Base Cabinet,,PB30-FHD,1265,,,,,,,1,1,I12
,Base Cabinet,,PB33-FHD,1330,,,,,,,1,1,I12
,Base Cabinet,,PB36-FHD,1376,,,,,,,1,1,I12
,Base Cabinet,,PB39-FHD,1439,,,,,,,1,1,I12
,Base Cabinet,,PB42-FHD,1497,,,,,,,1,1,I12
,Base Cabinet,,PB45-FHD,1550,,,,,,,1,1,I12
,Base Cabinet,,PB48-FHD,1573,,,,,,,1,1,I12
,Base Cabinet,,BBC36,593,,,,,,,1,1,I13
,Base Cabinet,,BBC39,621,,,,,,,1,1,I13
,Base Cabinet,,BBC42,680,,,,,,,1,1,I13
,Base Cabinet,,BBC45,708,,,,,,,1,1,I13
