Cabinet Name,Cabinet Category,Cabinet Sub-Type,SKU,Price,Doors,Drawers,Shelves,Width,Height,Depth
Seaport Light Gray Crown Molding - 96w 3⅞h ⅞d,"Trim, Filler, & Panels",Molding,SLG-CM4,160,0,0,0,96.0in,3.875in,0.875in
Seaport Light Gray Crown Molding Backer - 96w 4h 3d,"Trim, Filler, & Panels",Molding,SLG-CMR4,221,0,0,0,96.0in,4.0in,3.0in
Seaport Light Gray Decorative Corbel - 3½w 12¼h 8d,"Trim, Filler, & Panels",Molding,SLG-CMCB,345,0,0,0,3.5in,12.25in,8.0in
Seaport Light Gray Dishwasher End Panel - 1w 34½h 24d,"Trim, Filler, & Panels",Molding,SLG-DWR1,95,0,0,0,1.0in,34.5in,24.0in
Seaport Light Gray Dishwasher Return Panel - 3w 34½h 24d,"Trim, Filler, & Panels",Molding,SLG-DWR3,112,0,0,0,3.0in,34.5in,24.0in
Seaport Light Gray Double Tall End Panel - 11¾w 78¾h ¾d,"Trim, Filler, & Panels",Molding,SLG-WP-T8412D,277,0,0,0,11.75in,78.75in,0.75in
Seaport Light Gray Double Tall End Panel - 11¾w 84¾h ¾d,"Trim, Filler, & Panels",Molding,SLG-WP-T9012D,308,0,0,0,11.75in,84.75in,0.75in
Seaport Light Gray Double Tall End Panel - 11¾w 90¾h ¾d,"Trim, Filler, & Panels",Molding,SLG-WP-T9612D,316,0,0,0,11.75in,90.75in,0.75in
Seaport Light Gray Extra-Large Crown Molding - 96w 6⅜h ¾d,"Trim, Filler, & Panels",Molding,SLG-CM7,195,0,0,0,96.0in,6.375in,0.75in
Seaport Light Gray Inside Corner Molding - 96w ¾h ¾d,"Trim, Filler, & Panels",Molding,SLG-ICM8,56,0,0,0,96.0in,0.75in,0.75in
Seaport Light Gray Large Corbel - 5¼w 12½h 4½d,"Trim, Filler, & Panels",Molding,SLG-CML,328,0,0,0,5.25in,12.5in,4.5in
Seaport Light Gray Large Crown Molding - 96w 4¼h ¾d,"Trim, Filler, & Panels",Molding,SLG-CM6,182,0,0,0,96.0in,4.25in,0.75in
Seaport Light Gray Light Rail Molding - 96w 1h 1½d,"Trim, Filler, & Panels",Molding,SLG-LRM,146,0,0,0,96.0in,1.0in,1.5in
Seaport Light Gray Multi-Purpose Molding - 96w 1¾h 2d,"Trim, Filler, & Panels",Molding,SLG-CMR2,166,0,0,0,96.0in,1.75in,2.0in
Seaport Light Gray Outside Corner Molding - 96w 1h ¼d,"Trim, Filler, & Panels",Molding,SLG-OCM8,62,0,0,0,96.0in,1.0in,0.25in
Seaport Light Gray Overlay Tall Filler - 2½w 83½h ¾d,"Trim, Filler, & Panels",Molding,SLG-OWF384,101,0,0,0,2.5in,83.5in,0.75in
Seaport Light Gray Overlay Tall Filler - 2½w 89½h ¾d,"Trim, Filler, & Panels",Molding,SLG-OWF390,104,0,0,0,2.5in,89.5in,0.75in
Seaport Light Gray Overlay Tall Filler - 2½w 95½h ¾d,"Trim, Filler, & Panels",Molding,SLG-OWF396,106,0,0,0,2.5in,95.5in,0.75in
Seaport Light Gray Overlay Wall Filler - 2½w 29½h ¾d,"Trim, Filler, & Panels",Molding,SLG-OWF330,28,0,0,0,2.5in,29.5in,0.75in
Seaport Light Gray Overlay Wall Filler - 2½w 35½h ¾d,"Trim, Filler, & Panels",Molding,SLG-OWF336,34,0,0,0,2.5in,35.5in,0.75in
Seaport Light Gray Plywood Panel - 48w 96h ¼d,"Trim, Filler, & Panels",Molding,SLG-PLY-48×96×1/4,241,0,0,0,48.0in,96.0in,0.25in
Seaport Light Gray Plywood Sheet - 48w 96h ¾d,"Trim, Filler, & Panels",Molding,SLG-PLY-48×96×3/4,386,0,0,0,48.0in,96.0in,0.75in
Seaport Light Gray Quarter Round Molding - 96w ¾h ¾d,"Trim, Filler, & Panels",Molding,SLG-QRM,56,0,0,0,96.0in,0.75in,0.75in
Seaport Light Gray Raised Panel Vanity Valance - 42w 12h ¾d,"Trim, Filler, & Panels",Molding,SLG-VARP42,260,0,0,0,42.0in,12.0in,0.75in
Seaport Light Gray Raised Panel Vanity Valance - 54w 12h ¾d,"Trim, Filler, & Panels",Molding,SLG-VARP54,277,0,0,0,54.0in,12.0in,0.75in
Seaport Light Gray Refrigerator End Panel - 27w 96h ¾d,"Trim, Filler, & Panels",Molding,SLG-REP2796 3/4,221,0,0,0,0.75in,96.0in,27.0in
Seaport Light Gray Scribe Molding - 96w ¾h ¼d,"Trim, Filler, & Panels",Molding,SLG-SM8-S,39,0,0,0,96.0in,0.75in,0.25in
Seaport Light Gray Square Post - 3w 36h 3d,"Trim, Filler, & Panels",Molding,SLG-SP336,315,0,0,0,3.0in,36.0in,3.0in
Seaport Light Gray Stack Crown Molding - 96w 2½h ¾d,"Trim, Filler, & Panels",Molding,SLG-STKM8,249,0,0,0,96.0in,2.5in,0.75in
Seaport Light Gray Tall End Panel - 23½w 78¾h ¾d,"Trim, Filler, & Panels",Molding,SLG-WP-T84,554,0,0,0,23.5in,78.75in,0.75in
Seaport Light Gray Tall End Panel - 23½w 84¾h ¾d,"Trim, Filler, & Panels",Molding,SLG-WP-T90,616,0,0,0,23.5in,84.75in,0.75in
Seaport Light Gray Tall End Panel - 23½w 90¾h ¾d,"Trim, Filler, & Panels",Molding,SLG-WP-T96,633,0,0,0,23.5in,90.75in,0.75in
Seaport Light Gray Tall Overlay Filler - 2½w 41½h ¾d,"Trim, Filler, & Panels",Molding,SLG-OWF342,39,0,0,0,2.5in,41.5in,0.75in
Seaport Light Gray Thick Refrigerator End Panel - 27w 96h 1½d,"Trim, Filler, & Panels",Molding,SLG-REP2796-1 1/2,252,0,0,0,1.5in,96.0in,27.0in
Seaport Light Gray Toe Kick Corner Cap - 1w 5h 1d,"Trim, Filler, & Panels",Molding,SLG-TKC,15,0,0,0,1.0in,5.0in,1.0in
Seaport Light Gray Toe Kick Trim - 8ft,"Trim, Filler, & Panels",Molding,SLG-TK8,31,0,0,0,96.0in,4.375in,0.25in
Seaport Light Gray Wall End Panel - 11½w 29½h ¾d,"Trim, Filler, & Panels",Molding,SLG-WP-W30,118,0,0,0,11.5in,29.5in,0.75in
Seaport Light Gray Wall End Panel - 11½w 35½h ¾d,"Trim, Filler, & Panels",Molding,SLG-WP-W36,148,0,0,0,11.5in,35.5in,0.75in
Seaport Light Gray Wall End Panel - 11½w 41½h ¾d,"Trim, Filler, & Panels",Molding,SLG-WP-W42,162,0,0,0,11.5in,41.5in,0.75in
Seaport Light Gray Wall Filler - 3w 30h ¾d,"Trim, Filler, & Panels",Molding,SLG-WF330,28,0,0,0,3.0in,30.0in,0.75in
Seaport Light Gray Wall Filler - 3w 36h ¾d,"Trim, Filler, & Panels",Molding,SLG-WF336,34,0,0,0,3.0in,36.0in,0.75in
Seaport Light Gray Wall Filler - 3w 42h ¾d,"Trim, Filler, & Panels",Molding,SLG-WF342,39,0,0,0,3.0in,42.0in,0.75in
Seaport Light Gray Wall Filler - 3w 96h ¾d,"Trim, Filler, & Panels",Molding,SLG-WF396,106,0,0,0,3.0in,96.0in,0.75in
Seaport Light Gray Wall Filler - 6w 30h ¾d,"Trim, Filler, & Panels",Molding,SLG-WF630,50,0,0,0,6.0in,30.0in,0.75in
Seaport Light Gray Wall Filler - 6w 36h ¾d,"Trim, Filler, & Panels",Molding,SLG-WF636,62,0,0,0,6.0in,36.0in,0.75in
Seaport Light Gray Wall Filler - 6w 42h ¾d,"Trim, Filler, & Panels",Molding,SLG-WF642,76,0,0,0,6.0in,42.0in,0.75in
Seaport Light Gray Wall Filler - 6w 96h ¾d,"Trim, Filler, & Panels",Molding,SLG-WF696,207,0,0,0,6.0in,96.0in,0.75in
Seaport Light Gray Framed Vanity Mirror - 27⅜w 29⅛h 1¾d,Mirror,Mirrors,SLG-M2427,189,0,0,0,27.375in,29.125in,1.75in
Seaport Light Gray Framed Vanity Mirror - 33⅜w 29⅛h 1¾d,Mirror,Mirrors,SLG-M3027,234,0,0,0,33.375in,29.125in,1.75in
Seaport Light Gray Floating Shelf - 24w 10h 2½d,Floating Shelves,Floating Wall Shelves & Ledges,SLG-FLS24,227,0,0,0,24.0in,10.0in,2.5in
Seaport Light Gray Floating Shelf - 30w 10h 2½d,Floating Shelves,Floating Wall Shelves & Ledges,SLG-FLS30,255,0,0,0,30.0in,10.0in,2.5in
Seaport Light Gray Floating Shelf - 36w 10h 2½d,Floating Shelves,Floating Wall Shelves & Ledges,SLG-FLS36,288,0,0,0,36.0in,10.0in,2.5in
